site;region;species;temp_regime;wave_exposure;lon;lat;wave_7;wave_15
Soetwater;Western;Both;Cool temperate;Very exposed;18.3375;-34.1764;TB063;TB278
Olifantsbos;Western;Both;Warm temperate;Exposed;18.3755;-34.2564;TB044;TB261
Buffelsbaai;Eastern;Both;Warm temperate;Fully sheltered;18.470217;-34.332867;FB024;FB598
Batsata Rock;Eastern;Both;Warm temperate;Extremely sheltered;18.4802;-34.2768;FB057;FB632
Baboon Rock;Eastern;Both;Warm temperate;Very sheltered;18.47824;-34.25525;FB072;FB647
Miller's Point ;Eastern;Both;Warm temperate;Extremely sheltered;18.47726;-34.23031;FB087;FB667
A-Frame;Eastern;Both;Warm temperate;Fully sheltered;18.468;-34.2072;FB104;FB681
Roman Rock;Eastern;Both;Warm temperate;Fully sheltered;18.46056;-34.18153;FB116;FB689
Kalk Bay;Eastern;Both;Warm temperate;Extremely sheltered;18.4564;-34.1214;FB171;FB733
Betty's Bay;Eastern;Both;Warm temperate;Very exposed;18.911;-34.361;HE169;HE353
Oudekraal;Western;Both;Cool temperate;Moderately exposed;18.346194;-33.984972;TB126;TB341
Scarborough;Western;Both;Cool temperate;Exposed;18.3654;-34.23871;TB048;TB265
Hout Bay;Western;Both;Cool temperate;Fully sheltered;18.33505;-34.06226;TB101;TB315
Kommetjie;Western;Both;Cool temperate;Very exposed;18.31648;-34.13173;TB075;TB291
St Helena Bay;Western;Both;Cool temperate;Exposed;17.98026;-32.71841;SH113;SH405
Sea Point;Western;L. pallida;Warm temperate;Exposed;18.382165;-33.918469;TB142;TB360
Bordjies Deep;Eastern;L. pallida;Warm temperate;Extremely sheltered;18.4652;-34.3105;FB041;FB611
Buffelsbaai South;Eastern;L. pallida;Warm temperate;Extremely sheltered;18.4699687;34.3433275;FB019;FB594
