site,id,lon,lat,tag
A-Frame,AF,18.468,-34.2072,FB681
Baboon Rock,BR,18.47824,-34.25525,FB72
Batsata Rock,BaR,18.4802,-34.2768,FB633
Betty's Bay,BB,18.906244,-34.369298,NA
Bordjies Deep,BD,18.4652,-34.3105,NA
Buffelsbaai,B,18.470217,-34.332867,FB598
Buffelsbaai South,BS,18.4699687,-34.3433275,NA
Cape Point,CP,18.467133,-34.366267,TB227
De Hoop,DH,20.55,-34.46,NA
Hout Bay,HB,18.33505,-34.062267,TB101
Kalk Bay,KB,18.4564,-34.1214,FB172
Kommetjie,K,18.3164,-34.131733,TB75
Miller's Point,MP,18.47726,-34.23031,FB667
Olifantsbos,OB,18.3755,-34.2564,NA
Oudekraal,O,18.346194,-33.984972,TB126
Roman Rock,RR,18.46056,-34.18153,NA
Scarborough,S,18.344049,-34.185914,TB276
Sea Point,SP,18.382165,-33.918469,NA
Soetwater,SW,18.3375,-34.1764,TB64
St Helena Bay,SH,17.980267,-32.718417,NA
