Morphometric,Unit measurement
Frond mass,Grams (g)
Primary length,Millimeters (mm)
Primary width,Millimeters (mm)
Frond length,Millimeters (mm)
Stipe mass,Grams (g)
Stipe length,Millimeters (mm)
Stipe circumference,Millimeters (mm)
Number of tufts,Grams (g)
Epiphyte length,Millimeters (mm)
Total length,Millimeters (mm)
Lamina weight,Grams (g)
Lamina length,Millimeters (mm)
Lamina thickness,Millimeters (mm)
Stipe mass,Grams (g)
Stipe length,Millimeters (mm)
Stipe diameter,Millimeters (mm)
Number of digits,Count
Thallus mass,Grams (g)
Total length,Millimeters (mm)
